Geração,Total,Brancos,Marrons
1,2,2,0
2,6,5,1
3,18,13,5
4,54,37,17
5,27,20,7
6,10,5,5
7,2,1,1
8,4,2,2
9,3,1,2
10,5,1,4
11,4,0,4
12,3,0,3
13,3,0,3
14,2,0,2
15,2,0,2
16,2,0,2
17,1,0,1
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0