Geração,Total,Brancos,Marrons
1,2,2,0
2,6,5,1
3,18,13,5
4,53,37,16
5,59,19,40
6,79,9,70
7,119,10,109
8,156,11,145
9,182,4,178
10,192,1,191
11,203,1,202
12,211,2,209
13,206,3,203
14,218,2,216
15,204,4,200
16,205,0,205
17,222,0,222
18,209,3,206
19,217,1,216
20,216,1,215
21,216,2,214
22,205,0,205
23,235,0,235
24,188,0,188
25,223,0,223